
Gurobi 9.0.2 (linux64, Python) logging started Sat Dec  5 14:14:01 2020

Using license file /share/apps/gurobi/9.0.2/gurobi_client.lic
Set parameter TokenServer to value 10.1.1.1
Set parameter LogFile to value /storage/users/anderhva/051220-120816/logs/O24-C2-V3-WS2.log
Set parameter LogToConsole to value 0
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (linux64)
Optimize a model with 10596 rows, 125204 columns and 722164 nonzeros
Model fingerprint: 0xb360a861
Variable types: 208 continuous, 124996 integer (124996 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e+00, 1e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 2400 rows and 18592 columns
Presolve time: 3.96s
Presolved: 8196 rows, 106612 columns, 505204 nonzeros
Variable types: 192 continuous, 106420 integer (106412 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   2.818672e+02   0.000000e+00      5s
   15185    8.5182423e+03   7.718634e+03   0.000000e+00     10s
   18427    9.1657949e+03   0.000000e+00   0.000000e+00     12s

Root relaxation: objective 9.165795e+03, 18427 iterations, 7.27 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     3     4 9821.14534    2  343 14274.5047 9821.14534  31.2%   667  148s
     5     8 9821.14534    3  329 14274.5047 9821.14534  31.2%   674  156s
     9    14 9821.14534    4  299 14274.5047 9821.14534  31.2%   557  160s
    17    28 9821.14534    5  301 14274.5047 9821.14534  31.2%   481  166s
H   31    42                    11725.178789 9821.14534  16.2%   429  223s
H   32    42                    11723.801258 9821.14534  16.2%   432  223s
H   43    42                    11609.310840 9821.14534  15.4%   443  224s
    51    58 9821.14534    7  266 11609.3108 9821.14534  15.4%   523  229s
    71    78 9821.14534    8  272 11609.3108 9821.14534  15.4%   556  234s
    91    98 9821.14534    8  323 11609.3108 9821.14534  15.4%   551  238s
   111   128 9821.14534    9  257 11609.3108 9821.14534  15.4%   567  241s
   178   182 9821.14534   12  312 11609.3108 9821.14534  15.4%   470  245s
   257   251 9821.14534   14  249 11609.3108 9821.14534  15.4%   406  251s
   370   334 9821.14534   18  275 11609.3108 9821.14534  15.4%   330  255s
   588   469 9821.14534   24  222 11609.3108 9821.14534  15.4%   244  277s
H  591   469                    11444.050654 9821.14534  14.2%   243  277s
   723   557 9868.04926   29  202 11444.0507 9821.14534  14.2%   223  282s
   931   618 11069.4990   29  431 11444.0507 9821.14534  14.2%   200  323s
H  932   588                    11425.996719 9821.14534  14.0%   200  350s
   933   588 10801.3582   29  209 11425.9967 9821.14534  14.0%   199  355s
   934   589 9913.65680   23  296 11425.9967 9821.14534  14.0%   199  360s
   935   590 10725.4634   10  377 11425.9967 9821.14534  14.0%   199  365s
   939   592 9909.53008   10  493 11425.9967 9821.14534  14.0%   198  370s
   940   593 10826.4985   26  500 11425.9967 9821.14534  14.0%   198  375s
   942   594 9821.14534   11  448 11425.9967 9821.14534  14.0%   198  381s
   945   596 10805.8357   37  522 11425.9967 9821.14534  14.0%   197  388s
   946   597 9937.69693   15  298 11425.9967 9821.14534  14.0%   197  392s
   948   598 9821.14534   17  434 11425.9967 9821.14534  14.0%   196  395s
   952   601 9879.61954   19  465 11425.9967 9821.14534  14.0%   196  402s
   955   603 10057.0359   14  421 11425.9967 9823.37526  14.0%   195  407s
   956   604 9832.02645    9  434 11425.9967 9832.02645  14.0%   195  473s
