
Gurobi 9.0.2 (linux64, Python) logging started Sat Dec  5 11:05:27 2020

Using license file /share/apps/gurobi/9.0.2/gurobi_client.lic
Set parameter TokenServer to value 10.1.1.1
Set parameter LogFile to value /storage/users/anderhva/051220-103929/logs/O20-C2-V3-WS2.log
Set parameter LogToConsole to value 0
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (linux64)
Optimize a model with 8192 rows, 87644 columns and 502192 nonzeros
Model fingerprint: 0xb0b3a30f
Variable types: 176 continuous, 87468 integer (87468 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e+00, 1e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 1952 rows and 13880 columns
Presolve time: 2.73s
Presolved: 6240 rows, 73764 columns, 348232 nonzeros
Variable types: 160 continuous, 73604 integer (73596 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    8804    6.7706899e+03   2.838021e+04   0.000000e+00      5s
   12504    7.7606813e+03   0.000000e+00   0.000000e+00      6s

Root relaxation: objective 7.760681e+03, 12504 iterations, 3.20 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 8437.72441    0  288 9919.83261 8437.72441  14.9%     -   99s
     0     0 8437.72441    0  253 9919.83261 8437.72441  14.9%     -   99s
     0     0 8437.72441    0  244 9919.83261 8437.72441  14.9%     -   99s
     0     0 8437.72441    0  246 9919.83261 8437.72441  14.9%     -  100s
     0     0 8437.72441    0  224 9919.83261 8437.72441  14.9%     -  101s
     0     0 8437.72441    0  212 9919.83261 8437.72441  14.9%     -  101s
     0     0 8437.72441    0  267 9919.83261 8437.72441  14.9%     -  101s
     0     0 8437.72441    0  271 9919.83261 8437.72441  14.9%     -  101s
     0     0 8437.72441    0  278 9919.83261 8437.72441  14.9%     -  102s
     0     0 8437.72441    0  282 9919.83261 8437.72441  14.9%     -  102s
     0     0 8437.72441    0  271 9919.83261 8437.72441  14.9%     -  102s
     0     0 8437.72441    0  298 9919.83261 8437.72441  14.9%     -  103s
     0     0 8437.72441    0  271 9919.83261 8437.72441  14.9%     -  103s
     0     0 8437.72441    0  291 9919.83261 8437.72441  14.9%     -  104s
     0     0 8437.72441    0  296 9919.83261 8437.72441  14.9%     -  104s
     0     0 8437.72441    0  298 9919.83261 8437.72441  14.9%     -  104s
     0     0 8437.72441    0  305 9919.83261 8437.72441  14.9%     -  104s
     0     0 8437.72441    0  316 9919.83261 8437.72441  14.9%     -  104s
     0     0 8437.72441    0  247 9919.83261 8437.72441  14.9%     -  105s
     0     0 8437.72441    0  255 9919.83261 8437.72441  14.9%     -  105s
     0     0 8437.72441    0  263 9919.83261 8437.72441  14.9%     -  105s
     0     0 8437.72441    0  255 9919.83261 8437.72441  14.9%     -  106s
     0     0 8437.72441    0  247 9919.83261 8437.72441  14.9%     -  106s
     0     0 8437.72441    0  284 9919.83261 8437.72441  14.9%     -  106s
     0     0 8437.72441    0  299 9919.83261 8437.72441  14.9%     -  106s
     0     0 8437.72441    0  270 9919.83261 8437.72441  14.9%     -  107s
     0     0 8437.72441    0  270 9919.83261 8437.72441  14.9%     -  109s
     0     2 8437.72441    0  270 9919.83261 8437.72441  14.9%     -  113s
     1     5 8437.72441    1  226 9919.83261 8437.72441  14.9%   164  116s
     7    13 8437.72441    3  216 9919.83261 8437.72441  14.9%   456  121s
    48    41 8437.72441    6  243 9919.83261 8437.72441  14.9%   237  126s
    68    53 8766.29731    6  147 9919.83261 8437.72441  14.9%   230  141s
H   82    53                    9919.8325043 8437.72441  14.9%   210  141s
   141   106 8437.72441    9  229 9919.83250 8437.72441  14.9%   175  146s
   287   200 8437.72441   16  272 9919.83250 8437.72441  14.9%   139  150s
   701   401 8477.07489   25  206 9919.83250 8437.72441  14.9%   104  156s
  1115   695 8539.88207   31  148 9919.83250 8437.72441  14.9%  95.2  160s
H 1314   774                    9867.6447004 8437.72441  14.5%  87.0  161s
H 1318   774                    9649.3977262 8437.72441  12.6%  86.8  161s
  1771  1098 8651.29151   46  151 9649.39773 8437.72441  12.6%  84.2  165s
H 1992  1132                    9613.9992804 8437.72441  12.2%  85.2  166s
  2212  1108 9535.08783   69  121 9613.99928 8437.72441  12.2%  84.6  205s
  2214  1109 9449.86524   64  166 9613.99928 8437.72441  12.2%  84.5  216s
H 2214  1053                    9606.8539927 8437.72441  12.2%  84.5  221s
  2218  1056 9419.14226   58  243 9606.85399 8437.72441  12.2%  84.4  225s
  2226  1061 8900.16752   30  285 9606.85399 8437.72441  12.2%  84.1  231s
  2232  1065 8733.67041   33  315 9606.85399 8437.72441  12.2%  83.8  236s
