
Gurobi 9.0.2 (linux64, Python) logging started Sat Dec  5 19:15:47 2020

Using license file /share/apps/gurobi/9.0.2/gurobi_client.lic
Set parameter TokenServer to value 10.1.1.1
Set parameter LogFile to value /storage/users/anderhva/051220-191547/logs/O10-C1-V3-WS0.log
Set parameter LogToConsole to value 0
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (linux64)
Optimize a model with 8532 rows, 111864 columns and 636904 nonzeros
Model fingerprint: 0xbc623559
Variable types: 96 continuous, 111768 integer (111768 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e+00, 1e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 598 rows and 3848 columns
Presolve time: 1.77s
Presolved: 7934 rows, 108016 columns, 508976 nonzeros
Variable types: 80 continuous, 107936 integer (107932 binary)

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
    6911    1.4946310e+03   3.772419e+02   0.000000e+00      5s
   12944    1.5739700e+03   1.788402e+03   0.000000e+00     10s
   17984    1.6184267e+03   1.201218e+03   0.000000e+00     15s
   23034    1.6636875e+03   3.941297e+03   0.000000e+00     20s
   28454    1.7432671e+03   5.190861e+03   0.000000e+00     25s
   33954    1.8046295e+03   2.295777e+03   0.000000e+00     30s
   38514    1.8469290e+03   5.323616e+02   0.000000e+00     35s
   40262    1.8576342e+03   0.000000e+00   0.000000e+00     37s

Root relaxation: objective 1.857634e+03, 40262 iterations, 34.14 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2866.95450    0  620 3439.89608 2866.95450  16.7%     -  373s
     0     0 2866.95450    0  445 3439.89608 2866.95450  16.7%     -  375s
     0     0 2866.95450    0  483 3439.89608 2866.95450  16.7%     -  375s
     0     0 2866.95450    0  731 3439.89608 2866.95450  16.7%     -  377s
     0     0 2866.95450    0  670 3439.89608 2866.95450  16.7%     -  378s
     0     0 2866.95450    0  671 3439.89608 2866.95450  16.7%     -  379s
     0     0 2866.95450    0  648 3439.89608 2866.95450  16.7%     -  380s
     0     0 2866.95450    0  701 3439.89608 2866.95450  16.7%     -  386s
     0     0 2866.95450    0  652 3439.89608 2866.95450  16.7%     -  388s
     0     0 2866.95450    0  657 3439.89608 2866.95450  16.7%     -  389s
     0     0 2866.95450    0  738 3439.89608 2866.95450  16.7%     -  390s
     0     0 2866.95450    0  736 3439.89608 2866.95450  16.7%     -  396s
H    0     0                    3439.8959852 2866.95450  16.7%     -  423s
     0     2 2866.95450    0  736 3439.89599 2866.95450  16.7%     -  429s
     1     4 2866.95450    1  572 3439.89599 2866.95450  16.7%   745  441s
     3     8 2866.95450    2  185 3439.89599 2866.95450  16.7%  1041  451s
     7    15 2866.95450    3  213 3439.89599 2866.95450  16.7%  1149  457s
    15    25 3134.22183    4  224 3439.89599 2866.95450  16.7%  1214  463s
    30    40 3172.84234    5  301 3439.89599 2866.95450  16.7%  1129  468s
    50    47 3226.06032    6  223 3439.89599 2866.95450  16.7%   905  481s
   110    71 3375.10411    8   36 3439.89599 3127.22661  9.09%   532  485s
   253    90 3142.29617    6  324 3439.89599 3137.94174  8.78%   300  491s
   480   116 3316.40388   15   60 3439.89599 3137.94174  8.78%   193  495s
   912    75     cutoff   17      3439.89599 3186.82648  7.36%   132  500s
