
Gurobi 9.0.2 (linux64, Python) logging started Sun Dec  6 12:15:03 2020

Using license file /share/apps/gurobi/9.0.2/gurobi_client.lic
Set parameter TokenServer to value 10.1.1.1
Set parameter LogFile to value /storage/users/anderhva/061220-115738/logs/O10-C2-V5-WS0.log
Set parameter LogToConsole to value 0
Changed value of parameter TimeLimit to 3600.0
   Prev: inf  Min: 0.0  Max: inf  Default: inf
Gurobi Optimizer version 9.0.2 build v9.0.2rc0 (linux64)
Optimize a model with 12572 rows, 165276 columns and 941838 nonzeros
Model fingerprint: 0x5cfe1f41
Variable types: 144 continuous, 165132 integer (165132 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+02]
  Objective range  [1e+00, 1e+04]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+02]
Presolve removed 844 rows and 4974 columns
Presolve time: 2.76s
Presolved: 11728 rows, 160302 columns, 755022 nonzeros
Variable types: 120 continuous, 160182 integer (160176 binary)

Deterministic concurrent LP optimizer: primal and dual simplex
Showing first log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    1.6466335e+04   2.400000e+01   6.032452e+09      5s
   35606    1.1823725e+03   0.000000e+00   1.024380e+06     10s
   54023    1.2638784e+03   6.020540e+02   0.000000e+00     15s
   58332    1.3367265e+03   1.177553e+03   0.000000e+00     20s
   61932    1.4128767e+03   1.128403e+02   0.000000e+00     25s
Concurrent spin time: 0.00s

Solved with dual simplex

Root relaxation: objective 1.778129e+03, 24528 iterations, 22.92 seconds

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2633.99882    0  337 3882.27000 2633.99882  32.2%     -  372s
     0     0 2638.16461    0  370 3882.27000 2638.16461  32.0%     -  376s
     0     0 2638.16461    0  373 3882.27000 2638.16461  32.0%     -  377s
     0     0 2639.95014    0  287 3882.27000 2639.95014  32.0%     -  380s
     0     0 2640.38417    0  317 3882.27000 2640.38417  32.0%     -  382s
     0     0 2640.55593    0  336 3882.27000 2640.55593  32.0%     -  382s
     0     0 2641.58018    0  273 3882.27000 2641.58018  32.0%     -  384s
     0     0 2641.63843    0  292 3882.27000 2641.63843  32.0%     -  386s
     0     0 2643.22869    0  343 3882.27000 2643.22869  31.9%     -  389s
     0     0 2643.22869    0  341 3882.27000 2643.22869  31.9%     -  395s
     0     2 2643.22869    0  341 3882.27000 2643.22869  31.9%     -  424s
     1     4 2656.22600    1  191 3882.27000 2647.93498  31.8%  1260  439s
     3     8 2662.95950    2  228 3882.27000 2656.28479  31.6%   914  454s
     7    16 2666.79042    3  300 3882.27000 2663.10669  31.4%   942  474s
    15    26 2677.42414    4  293 3882.27000 2666.85211  31.3%  1058  485s
    31    44 2681.55223    5  236 3882.27000 2677.58242  31.0%   831  524s
H   34    44                    3882.2676499 2677.58242  31.0%   793  524s
    51    64 2695.16143    6  295 3882.26765 2681.61686  30.9%   924  537s
    71    82 2744.12898    7  166 3882.26765 2681.61686  30.9%   777  544s
    89    82 3152.85026    7  140 3882.26765 2681.61686  30.9%   734  545s
   111   116 2744.62005    8  112 3882.26765 2681.61686  30.9%   691  558s
   143   143 2788.23647   10  176 3882.26765 2681.61686  30.9%   649  563s
   179   168 2804.56519   12  139 3882.26765 2681.61686  30.9%   587  567s
   216   189 2839.13911   14  118 3882.26765 2681.61686  30.9%   541  570s
   311   228 2902.93024   17   93 3882.26765 2681.61686  30.9%   444  578s
   372   247 2989.50721   19   97 3882.26765 2681.61686  30.9%   412  580s
   504   299 3041.09395   25  123 3882.26765 2681.61686  30.9%   358  585s
   575   326 3068.46942   30   97 3882.26765 2681.61686  30.9%   347  590s
   734   369 3093.33646   38   56 3882.26765 2681.61686  30.9%   317  597s
   844   375     cutoff   39      3882.26765 2735.52455  29.5%   296  606s
   943   375 2839.00451    7  167 3882.26765 2735.52455  29.5%   288  610s
  1040   401 2872.49553    8  147 3882.26765 2735.52455  29.5%   288  615s
  1298   483 3000.87323   10  135 3882.26765 2735.52455  29.5%   261  621s
  1419   554 3444.22065   11  102 3882.26765 2735.52455  29.5%   253  625s
  1608   591 3687.69777   17   84 3882.26765 2735.52455  29.5%   236  630s
  1982   642 3559.72194   13   25 3882.26765 2751.65108  29.1%   215  637s
  2411   767 3803.60456   35   19 3882.26765 2850.49391  26.6%   197  643s
  2699   829 3378.96147    7  206 3882.26765 2850.49391  26.6%   185  646s
  3287   927 3770.46091   18   47 3882.26765 3101.78888  20.1%   167  651s
  3911  1029 3674.58091   12   83 3882.26765 3206.31232  17.4%   156  657s
  4307  1036 3612.85424   12  100 3882.26765 3404.97107  12.3%   148  660s
  5021   807 3834.00083   26   21 3882.26765 3630.01631  6.50%   136  666s
  5820   331     cutoff   23      3882.26765 3671.39502  5.43%   124  671s

Cutting planes:
  Cover: 36
  Implied bound: 211
  Clique: 15
  MIR: 25
  StrongCG: 1
  Flow cover: 16
  GUB cover: 1
  Inf proof: 1
  Zero half: 17
  RLT: 22
  Relax-and-lift: 313

Explored 6718 nodes (841675 simplex iterations) in 674.06 seconds
Thread count was 20 (of 40 available processors)

Solution count 8: 3882.27 3882.27 3922.69 ... 4767.89
No other solutions better than 3882.27

Optimal solution found (tolerance 1.00e-04)
Best objective 3.882267311643e+03, best bound 3.882267311643e+03, gap 0.0000%
